City,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date,Longitude,Latitude
fountain,14.81,9,0,8.75,US,1643669614,-104.7008,38.6822
ancud,15.23,72,2,3.85,CL,1643669614,-73.8203,-41.8697
fortuna,10.51,71,0,2.24,US,1643669615,-124.1573,40.5982
sault sainte marie,-4.16,60,75,4.12,CA,1643669470,-84.3333,46.5168
wanning,21.25,91,94,0.75,CN,1643669617,110.3967,18.8003
high level,-18.94,71,75,2.57,CA,1643669617,-117.136,58.5169
marzuq,15.49,67,45,2.36,YE,1643669618,46.4667,14.4
tabory,-20.48,100,71,1.32,RU,1643669619,64.5495,58.5198
sobolevo,-5.46,98,99,2.11,RU,1643669620,31.8996,54.4299
mount gambier,17.95,55,75,8.75,AU,1643669620,140.7667,-37.8333
paita,28.31,76,100,4.89,PE,1643669621,-81.1144,-5.0892
kodiak,-1.27,69,100,2.06,US,1643669622,-152.4072,57.79
shingu,4.55,63,7,2.56,JP,1643669622,135.9833,33.7333
aloleng,24.33,73,2,4.06,PH,1643669623,119.7824,16.1307
bereda,6.1,96,44,2.72,ES,1643669624,-7.5406,43.2686
raton,16.34,4,0,9.26,US,1643669563,-104.4391,36.9034
punta alta,24.02,25,42,1.83,AR,1643669625,-62.0736,-38.8759
maragogi,26.47,76,8,3.56,BR,1643669626,-35.2225,-9.0122
chuy,18.38,61,31,5.15,UY,1643669376,-53.4616,-33.6971
sri aman,23.03,100,99,0.0,MY,1643669627,111.4621,1.2376
kuna,3.63,48,100,1.34,US,1643669628,-116.4201,43.4918
bumba,22.21,41,93,0.79,CD,1643669629,22.4667,2.1833
salekhard,-31.46,100,91,1.33,RU,1643669629,66.6019,66.53
bani walid,10.4,37,58,6.01,LY,1643669630,13.9942,31.7566
yambio,24.83,28,96,1.16,SS,1643669631,28.3955,4.5721
traralgon,28.01,63,9,3.71,AU,1643669632,146.5333,-38.1833
dhanaura,10.04,68,0,2.08,IN,1643669632,78.25,28.9667
ginir,14.27,17,100,1.65,ET,1643669633,40.7,7.1333
vila franca do campo,15.66,81,67,6.81,PT,1643669634,-25.4333,37.7167
umm kaddadah,13.25,25,21,6.51,SD,1643669635,26.6876,13.6017
veliko gradiste,1.19,78,100,1.05,RS,1643669636,21.5136,44.7567
lufilufi,30.44,73,99,5.19,WS,1643669637,-171.5986,-13.8745
tasiilaq,-18.35,98,99,2.06,GL,1643669638,-37.6368,65.6145
kamina,17.26,98,100,1.44,CD,1643669639,24.9906,-8.7386
iqaluit,-35.17,73,20,2.24,CA,1643669639,-68.5145,63.7506
san ramon,14.86,57,0,1.34,US,1643669603,-121.978,37.7799
vardo,-14.89,81,59,3.82,NO,1643669641,31.1107,70.3705
kropotkin,1.95,90,100,4.37,RU,1643669641,40.5756,45.4375
shawville,-9.57,97,79,1.38,CA,1643669642,-76.4827,45.6001
svetlogorsk,-3.77,92,100,5.25,BY,1643669643,29.7333,52.6333
shache,0.4,40,98,0.74,CN,1643669644,77.2406,38.4167
haimen,10.94,88,100,4.77,CN,1643669645,116.6142,23.1935
horsham,4.88,79,20,4.12,GB,1643669646,-0.3272,51.064
zhigansk,-35.08,99,88,3.25,RU,1643669646,123.3711,66.7697
najran,16.36,49,17,2.85,SA,1643669647,44.1277,17.4924
nueve de julio,17.39,56,27,2.61,AR,1643669648,-60.8831,-35.4444
lukulu,18.6,95,100,1.28,ZM,1643669648,23.242,-14.3707
chokurdakh,-25.34,94,100,0.88,RU,1643669649,147.9167,70.6333
caravelas,26.42,84,1,4.51,BR,1643669650,-39.2481,-17.7125
yoichi,-13.61,66,59,4.75,JP,1643669651,140.7703,43.2039
havoysund,-3.51,70,100,3.89,NO,1643669651,24.6622,70.9963
marawi,19.71,94,100,0.6,PH,1643669652,124.2928,7.9986
pangnirtung,-33.0,68,20,0.0,CA,1643669653,-65.7125,66.1451
goderich,-3.92,63,27,3.09,CA,1643669653,-81.7165,43.7501
pahrump,14.2,15,100,0.89,US,1643669545,-115.9839,36.2083
mezen,-12.9,96,100,2.03,RU,1643669655,44.24,65.8522
nemuro,-5.51,71,30,9.22,JP,1643669656,145.575,43.3236
vanimo,25.65,77,100,2.33,PG,1643669657,141.3028,-2.6741
uvarovo,-0.85,91,100,7.55,RU,1643669657,42.2615,51.9849
nagato,3.27,66,85,8.27,JP,1643669659,131.2,34.3833
mangochi,21.31,93,2,1.86,MW,1643669659,35.2645,-14.4782
tezu,11.93,90,100,1.33,IN,1643669660,96.1667,27.9167
cauquenes,25.28,28,0,3.98,CL,1643669661,-72.3225,-35.9671
bridgeton,-2.01,65,89,3.1,US,1643669662,-75.2341,39.4273
dingle,24.31,91,100,3.43,PH,1643669662,122.6711,10.9995
taoudenni,20.75,8,70,6.05,ML,1643669663,-3.9836,22.6783
kurilsk,-5.16,85,100,9.29,RU,1643669664,147.8833,45.2333
denpasar,26.51,83,40,2.57,ID,1643669587,115.2167,-8.65
torbay,0.11,74,75,6.17,CA,1643669665,-52.7314,47.6666
tuatapere,23.23,54,69,0.18,NZ,1643669666,167.6833,-46.1333
rio viejo,29.92,49,59,2.93,CO,1643669667,-73.839,8.5874
olafsvik,-2.53,87,86,12.34,IS,1643669668,-23.7142,64.8945
atar,26.72,13,100,4.14,MR,1643669668,-13.0499,20.5169
airai,17.56,81,82,2.15,TL,1643669669,125.4092,-8.9266
salalah,19.44,66,2,1.56,OM,1643669670,54.0924,17.0151
kalaleh,8.37,44,73,4.44,IR,1643669671,55.4916,37.3807
bilma,13.46,19,0,2.53,NE,1643669672,12.9164,18.6853
palmer,-5.97,53,20,1.54,US,1643669673,-72.3287,42.1584
ambanja,23.86,92,65,1.53,MG,1643669674,48.45,-13.6833
isangel,27.06,94,100,3.09,VU,1643669675,169.2667,-19.55
walvis bay,21.72,82,86,3.19,NA,1643669675,14.5053,-22.9575
ketchikan,3.26,87,100,0.0,US,1643669676,-131.6461,55.3422
nago,12.65,65,58,2.96,JP,1643669531,127.9761,26.5881
chivay,8.73,74,96,4.2,PE,1643669677,-71.6011,-15.6383
arpasu de jos,-2.01,83,100,0.35,RO,1643669678,24.6167,45.7833
tromso,-3.06,93,100,6.69,NO,1643669635,18.957,69.6496
hirara,17.15,67,75,4.63,JP,1643669679,125.2833,24.8
clarence town,25.79,64,14,1.59,AU,1643669680,151.7833,-32.5833
luderitz,18.8,86,8,2.19,NA,1643669681,15.1594,-26.6481
port hardy,5.1,81,75,4.12,CA,1643669682,-127.4199,50.6996
nishihara,15.6,67,75,4.12,JP,1643669682,127.7558,26.1842
ust-omchug,-24.65,99,92,3.11,RU,1643669684,149.6333,61.15
varna,-0.4,83,0,1.03,BG,1643669684,27.9167,43.2167
fukue,9.66,56,89,7.67,JP,1643669686,128.8419,32.6881
shakawe,18.14,95,71,2.02,BW,1643669686,21.85,-18.3667
tongliao,-20.12,86,19,3.54,CN,1643669398,122.2653,43.6125
shimoda,6.17,68,35,4.17,JP,1643669688,138.95,34.6667
sabha,9.76,45,0,3.59,LY,1643669606,14.4283,27.0377
zhuzhou,4.07,98,100,1.17,CN,1643669663,113.15,27.8333
san quintin,17.55,56,78,5.76,MX,1643669690,-115.95,30.4833
ban nahin,14.56,87,22,1.95,LA,1643669691,104.2122,18.2418
aleksandrovsk-sakhalinskiy,-13.68,96,100,4.44,RU,1643669692,142.1561,50.8975
port augusta,22.06,73,100,8.92,AU,1643669693,137.7667,-32.5
tougue,22.62,15,62,1.08,GN,1643669693,-11.6,11.4667
nacala,23.07,92,5,2.33,MZ,1643669694,40.6728,-14.5428
nakkila,-13.06,85,0,1.54,FI,1643669695,22.0,61.3667
deputatskiy,-32.51,100,58,1.51,RU,1643669695,139.9,69.3
menongue,18.2,57,100,1.53,AO,1643669696,17.691,-14.6585
savonlinna,-6.97,86,100,4.12,FI,1643669697,28.88,61.8699
morondava,25.77,78,0,1.35,MG,1643669698,44.2833,-20.2833
santa isabel do rio negro,26.92,71,100,1.4,BR,1643669698,-65.0192,-0.4139
klaksvik,8.51,87,100,15.61,FO,1643669699,-6.589,62.2266
ojinaga,20.55,26,0,2.57,MX,1643669699,-104.4167,29.5667
tecoanapa,27.97,60,0,5.39,MX,1643669700,-98.75,16.5167
nome,-8.96,45,0,5.14,US,1643669575,-165.4064,64.5011
lagoa,14.83,78,27,10.72,PT,1643669702,-27.9833,39.05
kaitangata,21.63,73,59,2.08,NZ,1643669702,169.8464,-46.2817
covington,2.68,62,65,0.8,US,1643669567,-84.5086,39.0837
trat,28.88,93,30,0.64,TH,1643669704,102.5,12.5
buala,28.77,71,97,1.83,SB,1643669704,159.5921,-8.145
baykit,-19.62,100,100,0.34,RU,1643669705,96.37,61.67
broken hill,22.84,78,40,1.54,AU,1643669706,141.4333,-31.95
lata,4.72,64,0,1.97,PT,1643669707,-8.3327,40.1629
belyy yar,-30.08,81,64,0.0,RU,1643669707,91.3903,53.6039
magan,9.55,61,5,3.66,ES,1643669708,-3.931,39.9683
chumikan,-20.91,87,76,6.35,RU,1643669709,135.315,54.7183
zhezkazgan,-17.76,98,88,2.48,KZ,1643669710,67.7144,47.8043
parsabad,5.94,48,29,4.37,IR,1643669711,47.9174,39.6482
yumen,-9.59,30,97,2.53,CN,1643669711,97.2,40.2833
akdepe,-2.95,77,7,4.49,TM,1643669712,59.3788,42.0551
emerald,28.08,65,59,4.63,AU,1643669684,148.1667,-23.5333
mirabad,11.74,33,0,2.24,AF,1643669714,61.8383,30.4362
skibbereen,8.89,84,78,9.27,IE,1643669715,-9.2667,51.55
macusani,3.79,90,98,0.84,PE,1643669715,-70.4333,-14.0833
opuwo,18.88,58,100,4.43,NA,1643669716,13.84,-18.0607
setermoen,-15.02,72,93,3.65,NO,1643669717,18.3486,68.861
xingyi,4.44,95,99,1.75,CN,1643669718,102.817,24.1877
tahe,-20.36,89,100,2.3,CN,1643669718,124.7333,52.3333
oil city,-3.7,50,0,3.6,US,1643669719,-79.7064,41.4339
yaan,24.47,16,34,2.59,NG,1643669721,8.5667,7.3833
cockburn town,23.26,71,99,10.19,TC,1643669721,-71.1419,21.4612
grand-santi,22.47,99,100,1.31,GF,1643669722,-54.3833,4.25
ola,-17.09,82,82,5.48,RU,1643669723,151.2833,59.5833
kamaishi,-6.47,54,4,1.48,JP,1643669723,141.8833,39.2667
necochea,18.35,49,71,1.5,AR,1643669526,-58.7368,-38.5473
impfondo,22.66,26,86,0.51,CG,1643669725,18.0667,1.6381
nekhayevskiy,0.85,85,100,8.04,RU,1643669725,41.7561,50.4106
grand gaube,26.88,69,44,4.02,MU,1643669601,57.6608,-20.0064
